original_osm_name	normalized_name
1-й Казнівський провулок	1-й Казнівський провулок
1-й Калинівський провулок	1-й Калинівський провулок
1-й Калиновий провулок	1-й Калиновий провулок
1-й Кам’янецький проїзд	1-й Камʼянецький проїзд
1-й Капітульний провулок	1-й Капітульний провулок
1-й Каракульний провулок	1-й Каракульний провулок
1-й Карпатський провулок	1-й Карпатський провулок
1-й Карпатський проїзд	1-й Карпатський проїзд
1-й Кар’єрний провулок	1-й Карʼєрний провулок
1-й Каховський провулок	1-й Каховський провулок
1-й Каховський проїзд	1-й Каховський проїзд
1-й Каштановий провулок	1-й Каштановий провулок
1-й Каштановий проїзд	1-й Каштановий проїзд
1 квартал	1-й квартал
1-й квартал	1-й квартал
Фурсівська 1 квартал вулиця	1-й квартал Фурсівської вулиці
1-й Кварцівський провулок	1-й Кварцівський провулок
1-й Квітковий провулок	1-й Квітковий провулок
1-й Квітневий провулок	1-й Квітневий провулок
1-й Квітучий провулок	1-й Квітучий провулок
1-й Керамічний провулок	1-й Керамічний провулок
1-й Керченський провулок	1-й Керченський провулок
1-й Київський провулок	1-й Київський провулок
1-й Київський проїзд	1-й Київський проїзд
1-й Київський тупик	1-й Київський тупик
1-й Кипарисний провулок	1-й Кипарисний провулок
1-й Кирпичний тупик	1-й Кирпичний тупик
1-й Китобійний провулок	1-й Китобійний провулок
1-й Кільцевий провулок	1-й Кільцевий провулок
1-й Кільченський провулок	1-й Кільченський провулок
1-й Кіровський провулок	1-й Кіровський провулок
1-й Ключевий провулок	1-й Ключевий провулок
1-й Книжковецький проїзд	1-й Книжковецький проїзд
1-й Кобзарський провулок	1-й Кобзарський провулок
1-й Ковальський провулок	1-й Ковальський провулок
1-й Козацький провулок	1-й Козацький провулок
1-ий Колгоспний провулок	1-й Колгоспний провулок
1-й Колгоспний провулок	1-й Колгоспний провулок
1-й Колективний провулок	1-й Колективний провулок
1-й Колеусівський провулок	1-й Колеусівський провулок
1-й Колісниченківський провулок	1-й Колісниченківський провулок
1-й Колонний провулок	1-й Колонний провулок
1-й Комсомольський провулок	1-й Комсомольський провулок
Комсомольський 1-й провулок	1-й Комсомольський провулок
1-й Комсомольський проїзд	1-й Комсомольський проїзд
1-й Комунальний провулок	1-й Комунальний провулок
1-й Комунарський провулок	1-й Комунарський провулок
1-й Кооперативний провулок	1-й Кооперативний провулок
1-й Короткий тупик	1-й Короткий тупик
1-й Котеджний проїзд	1-й Котеджний проїзд
1-й Котласький проїзд	1-й Котласький проїзд
1-й Кохнівський проїзд	1-й Кохнівський проїзд
1-й Красносільський провулок	1-й Красносільський провулок
1-й Кременецький провулок	1-й Кременецький провулок
1-й Кривий провулок	1-й Кривий провулок
1-й Кримський провулок	1-й Кримський провулок
1-й Кришталевий провулок	1-й Кришталевий провулок
1-й Кронштадтський провулок	1-й Кронштадтський провулок
1-й Крошенський провулок	1-й Крошенський провулок
1-й Круговий провулок	1-й Круговий провулок
1-й Курганний провулок	1-й Курганний провулок
1-й Курортний провулок	1-й Курортний провулок
1-й Курсовий провулок	1-й Курсовий провулок
1-й Кутаїський в’їзд	1-й Кутаїський вʼїзд
1-й Лазаретний провулок	1-й Лазаретний провулок
1-й Лазурний провулок	1-й Лазурний провулок
1-й Лазьківський в’їзд	1-й Лазьківський вʼїзд
1-й Лановий провулок	1-й Лановий провулок
1-й Левадний тупик	1-й Левадний тупик
1-й Легпромівський провулок	1-й Легпромівський провулок
1-й Лелеківський провулок	1-й Лелеківський провулок
1-й Лелечий проїзд	1-й Лелечий проїзд
1-й Ленінський провулок	1-й Ленінський провулок
1-й Ливарний провулок	1-й Ливарний провулок
1-й Ливарний тупик	1-й Ливарний тупик
1-й Липневий проїзд	1-й Липневий проїзд
1-й Лисогірський в’їзд	1-й Лисогірський вʼїзд
1-й Лірницький провулок	1-й Лірницький провулок
1-й Лісний провулок	1-й Лісний провулок
1-й Лісо-Степовий провулок	1-й Лісо-Степовий провулок
1-й Лісовий провулок	1-й Лісовий провулок
провулок Лісовий І	1-й Лісовий провулок
1-й Лісопарківський провулок	1-й Лісопарківський провулок
1-й Лозовий провулок	1-й Лозовий провулок
1-й Луганський провулок	1-й Луганський провулок
1-й Луговий провулок	1-й Луговий провулок
1-й Луговий проїзд	1-й Луговий проїзд
1-й Лузанівський провулок	1-й Лузанівський провулок
1-й Луковецький провулок	1-й Луковецький провулок
1-й Лучанський провулок	1-й Лучанський провулок
1-й Лютневий провулок	1-й Лютневий провулок
1-й Магазинний провулок	1-й Магазинний провулок
1-й Майський провулок	1-й Майський провулок
1-й Малий провулок	1-й Малий провулок
1-й Малокохнівський тупик	1-й Малокохнівський тупик
1-й Малоомелянівський провулок	1-й Малоомелянівський провулок
1-й Маріупольський провулок	1-й Маріупольський провулок
1-й Маршовий провулок	1-й Маршовий провулок
1-й Мар’янівський провулок	1-й Марʼянівський провулок
1-й Матеріальний провулок	1-й Матеріальний провулок
1 Махнівський провулок	1-й Махнівський провулок
Маякський 1-й провулок	1-й Маякський провулок
1-й Маячний провулок	1-й Маячний провулок
1-й Медовий провулок	1-й Медовий провулок
1-й Медовий проїзд	1-й Медовий проїзд
1-й Мельничний провулок	1-й Мельничний провулок
1-й Метеорологічний провулок	1-й Метеорологічний провулок
1-й Механізаторський провулок	1-й Механізаторський провулок
1-й Микільський провулок	1-й Микільський провулок
1-й Миколаївський провулок	1-й Миколаївський провулок
1-й Мирний провулок	1-й Мирний провулок
1-й Мисливський провулок	1-й Мисливський провулок
1-й Михайлівський провулок	1-й Михайлівський провулок
1-й микрорайон	1-й мікрорайон
Мікрорайон 1	1-й мікрорайон
1-й Мінеральний провулок	1-й Мінеральний провулок
1-й Мічуринський провулок	1-й Мічуринський провулок
1-й Молдавський провулок	1-й Молдавський провулок
1-й Молодіжний провулок	1-й Молодіжний провулок
1-й Молодогвардійський провулок	1-й Молодогвардійський провулок
Молодогвардійський провулок 1-й	1-й Молодогвардійський провулок
1 Московський провулок	1-й Московський провулок
1-й Московський провулок	1-й Московський провулок
1-й Мостовий провулок	1-й Мостовий провулок
1-й Моторний провулок	1-й Моторний провулок
1-й Набережний провулок	1-й Набережний провулок
1-й Набережний тупик	1-й Набережний тупик
1-й Нагірний провулок	1-й Нагірний провулок
1-й Налічний провулок	1-й Налічний провулок
1-й Нектарний провулок	1-й Нектарний провулок
1-й Неманський проїзд	1-й Неманський проїзд
1-й Немишлянський в’їзд	1-й Немишлянський вʼїзд
1-й Нескучний в'їзд	1-й Нескучний вʼїзд
1-й Нижній провулок	1-й Нижній провулок
1-й Нижньогиївський узвіз	1-й Нижньогиївський узвіз
1-й Нижньодністровський провулок	1-й Нижньодністровський провулок
1-й Нижньосадовий провулок	1-й Нижньосадовий провулок
1-й Низгірецький провулок	1-й Низгірецький провулок
1-й Низовий провулок	1-й Низовий провулок
1 Ніжинський проїзд	1-й Ніжинський проїзд
1-й Ніжинський проїзд	1-й Ніжинський проїзд
1-й Новий провулок	1-й Новий провулок
1-й Новогоголівський провулок	1-й Новогоголівський провулок
1-й Новогоголівський проїзд	1-й Новогоголівський проїзд
1-й Новонерубайський провулок	1-й Новонерубайський провулок
1-й Новопівнічний провулок	1-й Новопівнічний провулок
1-й Новополонський провулок	1-й Новополонський провулок
1-й Новоприміський проїзд	1-й Новоприміський проїзд
1-й Новоселівський провулок	1-й Новоселівський провулок
1-й Носівський провулок	1-й Носівський провулок
1-й Овражний провулок	1-й Овражний провулок
1-й Одеський провулок	1-й Одеський провулок
1-й Озаринецький тупик	1-й Озаринецький тупик
1-й Озерний провулок	1-й Озерний провулок
1-й Озерний тупик	1-й Озерний тупик
1-й Олександрівський провулок	1-й Олександрівський провулок
1-й Олександрійський провулок	1-й Олександрійський провулок
1-й Олексіївський в’їзд	1-й Олексіївський вʼїзд
Перший Олімпійський провулок	1-й Олімпійський провулок
1-й Омський в’їзд	1-й Омський вʼїзд
1-й Омський провулок	1-й Омський провулок
1-й Онезький проїзд	1-й Онезький проїзд
1-й Орловський проїзд	1-й Орловський проїзд
1-й Оружейний провулок	1-й Оружейний провулок
1-й Осінній провулок	1-й Осінній провулок
1-й Осінній проїзд	1-й Осінній проїзд
1-й Офіцерський провулок	1-й Офіцерський провулок
1-й Охтирський провулок	1-й Охтирський провулок
1-й Павликівський провулок	1-й Павликівський провулок
1-й Паравозний провулок	1-й Паравозний провулок
1-й Парковий провулок	1-й Парковий провулок
1-й Парковий проїзд	1-й Парковий проїзд
1-й Парниковий провулок	1-й Парниковий провулок
1-й Паровозний провулок	1-й Паровозний провулок
1-й Партизанський провулок	1-й Партизанський провулок
1-й Пасічний провулок	1-й Пасічний провулок
1-й Переїзний провулок	1-й Переїзний провулок
1-й Перекопський провулок	1-й Перекопський провулок
1-й Пересипський провулок	1-й Пересипський провулок
1 провулок Першотравневий	1-й Першотравневий провулок
1-й Першотравневий провулок	1-й Першотравневий провулок
1-й Петренківський в’їзд	1-й Петренківський вʼїзд
1-й Петренківський провулок	1-й Петренківський провулок
1-й Петренківський проїзд	1-й Петренківський проїзд
1-й Петрівський провулок	1-й Петрівський провулок
1-й Петровский тупик	1-й Петровский тупик
1-й Петропавлівський провулок	1-й Петропавлівський провулок
1-й Печерський провулок	1-й Печерський провулок
1-й Південний провулок	1-й Південний провулок
1-й Північний провулок	1-й Північний провулок
1-й Північно-Лінійний провулок	1-й Північно-Лінійний провулок
1-й Північно-Озерний провулок	1-й Північно-Озерний провулок
Підгаєцький-1 провулок	1-й Підгаєцький провулок
1-й Підгірний в’їзд	1-й Підгірний вʼїзд
1-й Піонерський провулок	1-й Піонерський провулок
1-й Пічугінський провулок	1-й Пічугінський провулок
1-й Піщаний в'їзд	1-й Піщаний вʼїзд
1-й Піщаний провулок	1-й Піщаний провулок
1-й Піщаний тупик	1-й Піщаний тупик
1-й Плідний провулок	1-й Плідний провулок
1-й Подолянський провулок	1-й Подолянський провулок
1 Покровський провулок	1-й Покровський провулок
1-й Покровський провулок	1-й Покровський провулок
1-й Поліський провулок	1-й Поліський провулок
1-й Полтавський провулок	1-й Полтавський провулок
1-й Польовий провулок	1-й Польовий провулок
1-й Польовий проїзд	1-й Польовий проїзд
1-й Польський провулок	1-й Польський провулок
1-й Поперечний провулок	1-й Поперечний провулок
1-й Постніковський провулок	1-й Постніковський провулок
1-й Поштовий провулок	1-й Поштовий провулок
1-й Поштовий тупик	1-й Поштовий тупик
1-й Приамурський провулок	1-й Приамурський провулок
1-й Прибережний провулок	1-й Прибережний провулок
1-й Прибузький провулок	1-й Прибузький провулок
1-й Придунайський провулок	1-й Придунайський провулок
1-й Приморський провулок	1-й Приморський провулок
1-й Приорільський провулок	1-й Приорільський провулок
1-й приуданський провулок	1-й Приуданський провулок
1-й провулок	1-й провулок
Перший провулок	1-й провулок
1-й 1-го Травня провулок	1-й провулок 1 Травня
1-й 12-го Грудня провулок	1-й провулок 12 Грудня
1-й 23-го Вересня провулок	1-й провулок 23 Вересня
І провулок 30-ччя Перемоги	1-й провулок 30-річчя Перемоги
1-й 8-го Березня провулок	1-й провулок 8 Березня
1-й 8 Травня провулок	1-й провулок 8 Травня
1-й 9 Травня провулок	1-й провулок 9 Травня
1-й Адмірала Лозівського провулок	1-й провулок Адмірала Лозівського
1-й Айвазовського провулок	1-й провулок Айвазовського
1-й Академіка Корольова провулок	1-й провулок Академіка Корольова
1-й Академіка Пирогова провулок	1-й провулок Академіка Пирогова
1-й Амундсена провулок	1-й провулок Амундсена
1-й Антона Турчановича провулок	1-й провулок Антона Турчановича
1-й Аптекарської провулок	1-й провулок Аптекарської
1-й Аріадни Стебельської провулок	1-й провулок Аріадни Стебельської
1-й Бадаєва провулок	1-й провулок Бадаєва
1-й Бахмацьких дивізій провулок	1-й провулок Бахмацьких Дивізій
1-й Берегової провулок	1-й провулок Берегової
1-й Бестужева провулок	1-й провулок Бестужева
1-й провулок Битий Шлях	1-й провулок Битий Шлях
1-й Благовіщенської вулиці провулок	1-й провулок Благовіщенської вулиці
1-й Блюхера провулок	1-й провулок Блюхера
1-й Б. Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Богдана Хмельницького провулок	1-й провулок Богдана Хмельницького
1-й Бойка провулок	1-й провулок Бойка
1-й Бойківської вулиці провулок	1-й провулок Бойківської вулиці
1-й Бориса Гмирі провулок	1-й провулок Бориса Гмирі
1-й Бориса Грінченка провулок	1-й провулок Бориса Грінченка
1-й Бориса Шкляра провулок	1-й провулок Бориса Шкляра
1-й Борисівки провулок	1-й провулок Борисівки
1-й Борисяка провулок	1-й провулок Борисяка
провулок Боцька І	1-й провулок Боцька
1-й Будівельників провулок	1-й провулок Будівельників
1-й Будьонного провулок	1-й провулок Будьонного
1-й Бульбенка провулок	1-й провулок Бульбенка
1-й Вадима Пузирьова провулок	1-й провулок Вадима Пузирьова
1-й Василенкове Поле провулок	1-й провулок Василенкове Поле
1-й Василя Кандинського провулок	1-й провулок Василя Кандинського
1-й Василя Сліпака провулок	1-й провулок Василя Сліпака
1-й Василя Стефаника провулок	1-й провулок Василя Стефаника
1-й Васіле Александрі провулок	1-й провулок Васіле Александрі
1-й Ватутіна провулок	1-й провулок Ватутіна
1-й Вахрамеєва провулок	1-й провулок Вахрамеєва
1-й Верхній Вокзальний провулок	1-й провулок Верхній Вокзальний
1-й Весніна провулок	1-й провулок Весніна
1-й Високовича провулок	1-й провулок Високовича
1-й Вишневої вулиці провулок	1-й провулок Вишневої вулиці
1-й Вишневського провулок	1-й провулок Вишневського
1-й Відпочинку провулок	1-й провулок Відпочинку
1-й Відродження провулок	1-й провулок Відродження
1-й Віктора Горіна провулок	1-й провулок Віктора Горіна
1-й Віктора Мирутенка провулок	1-й провулок Віктора Мирутенка
Вознесенської 1-й провулок	1-й провулок Вознесенської
1-й провулок Волi	1-й провулок Волі
1-й Володимира Великого провулок	1-й провулок Володимира Великого
1-й Володимира Івасюка провулок	1-й провулок Володимира Івасюка
1-й Володимира Свідзінського провулок	1-й провулок Володимира Свідзінського
1-й Воровського провулок	1-й провулок Воровського
1-й Ворошилова провулок	1-й провулок Ворошилова
Всіхсвятської 1-й провулок	1-й провулок Всіхсвятської
1-й Григорія Сковороди вулиці провулок	1-й провулок вулиці Григорія Сковороди
1-й Кавалерідзе вулиці провулок	1-й провулок вулиці Кавалерідзе
Короленка вулиці 1-й провулок	1-й провулок вулиці Короленка
провулок 1-й Леніна вулиці	1-й провулок вулиці Леніна
1-й Миру вулиці провулок	1-й провулок вулиці Миру
провулок 1-й вулиці Чекістів	1-й провулок вулиці Чекістів
1-й Чернишевського вулиці провулок	1-й провулок вулиці Чернишевського
1-й Шевченка вулиці провулок	1-й провулок вулиці Шевченка
1-й Щепкіна вулиці провулок	1-й провулок вулиці Щепкіна
1-й В’ячеслава Чорновола провулок	1-й провулок Вʼячеслава Чорновола
1-й Г.Морозової провулок	1-й провулок Г. Морозової
1-й Гагаріна провулок	1-й провулок Гагаріна
1-й провулок Гайдамаків	1-й провулок Гайдамаків
1-й Гайдара провулок	1-й провулок Гайдара
1-й Георгіївської вулиці провулок	1-й провулок Георгіївської вулиці
Героїв Крут перший провулок	1-й провулок Героїв Крут
1-й Героїв України провулок	1-й провулок Героїв України
1-й Героїв Чорнобиля провулок	1-й провулок Героїв Чорнобиля
1-й Герцена провулок	1-й провулок Герцена
1-й Гетьмана Дорошенка провулок	1-й провулок Гетьмана Дорошенка
1-й Гетьмана Сагайдачного провулок	1-й провулок Гетьмана Сагайдачного
1-й Гетьмана Скоропадського провулок	1-й провулок Гетьмана Скоропадського
1-й Глазунова провулок	1-й провулок Глазунова
1-й Глінки провулок	1-й провулок Глінки
1-й Гната Танцюри провулок	1-й провулок Гната Танцюри
1-й Гніванське шосе провулок	1-й провулок Гніванське Шосе
1-й Гоголя провулок	1-й провулок Гоголя
1-й Горького провулок	1-й провулок Горького
І провулок Горького	1-й провулок Горького
Перший Горького провулок	1-й провулок Горького
1-й Грибоєдова провулок	1-й провулок Грибоєдова
1-й Григорія Чупринки провулок	1-й провулок Григорія Чупринки
1-й Громова провулок	1-й провулок Громова
1-й Грушевського провулок	1-й провулок Грушевського
1-й провулок Грушевського 	1-й провулок Грушевського
провулок Грушевського І	1-й провулок Грушевського
1-й Данила Галицького провулок	1-й провулок Данила Галицького
1-й Данила Нечая провулок	1-й провулок Данила Нечая
1-й Декабристів провулок	1-й провулок Декабристів
1-й Дениса Квітковського провулок	1-й провулок Дениса Квітковського
1-й Джамбула провулок	1-й провулок Джамбула
1-й Дзержинського провулок	1-й провулок Дзержинського
Дзержинського 1-й провулок	1-й провулок Дзержинського
1-й Димитрова провулок	1-й провулок Димитрова
1-й Добролюбова провулок	1-й провулок Добролюбова
1-й Довженка провулок	1-й провулок Довженка
1-й Другої П'ятирічки провулок	1-й провулок Другої Пʼятирічки
1-й Дружби провулок	1-й провулок Дружби
1-й Дубініна провулок	1-й провулок Дубініна
1-й Дудіна провулок	1-й провулок Дудіна
1-й Дунаєвського провулок	1-й провулок Дунаєвського
1-й Дундича провулок	1-й провулок Дундича
1-й Енергетиків провулок	1-й провулок Енергетиків
1-й Євгена Чикаленка провулок	1-й провулок Євгена Чикаленка
1-й Жовтневої вулиці провулок	1-й провулок Жовтневої вулиці
провулок 1-й Жовтневої вулиці	1-й провулок Жовтневої вулиці
1-й Жукова провулок	1-й провулок Жукова
1-й Загребелля провулок	1-й провулок Загребелля
1-й Задніпровського провулок	1-й провулок Задніпровського
1-й Залізничної вулиці провулок	1-й провулок Залізничної вулиці
Западинської 1-й провулок	1-й провулок Западинської
1-й Затонського провулок	1-й провулок Затонського
1-ий Захарченка провулок	1-й провулок Захарченка
1-й Зелінського провулок	1-й провулок Зелінського
